1 1:39 2:142 3:45 4:63 5:216 6:216 7:247 8:622
2 1:236 2:140 3:45 4:63 5:16 6:228 7:247 8:622
3 1:89 2:133 3:45 4:63 5:42 6:229 7:247 8:622
4 1:83 2:127 3:45 4:63 5:235 6:233 7:247 8:622
5 1:194 2:125 3:45 4:63 5:96 6:238 7:247 8:622
6 1:24 2:123 3:45 4:63 5:120 6:247 7:247 8:622
7 1:241 2:118 3:45 4:63 5:60 6:247 7:247 8:622
8 1:40 2:118 3:45 4:63 5:188 6:233 7:247 8:622
9 1:108 2:114 3:45 4:63 5:175 6:213 7:247 8:622
10 1:79 2:117 3:45 4:63 5:254 6:177 7:247 8:622
11 1:247 2:124 3:45 4:63 5:253 6:159 7:247 8:622
12 1:247 2:129 3:45 4:63 5:85 6:104 7:247 8:622
13 1:241 2:132 3:45 4:63 5:22 6:66 7:247 8:622
14 1:236 2:156 3:45 4:63 5:16 6:234 7:246 8:622
15 1:136 2:166 3:45 4:63 5:214 6:199 7:246 8:622
16 1:121 2:191 3:45 4:63 5:245 6:115 7:246 8:622
17 1:198 2:208 3:45 4:63 5:148 6:86 7:246 8:622
18 1:68 2:215 3:45 4:63 5:177 6:59 7:246 8:622
19 1:142 2:211 3:45 4:63 5:113 6:13 7:246 8:622
20 1:238 2:215 3:45 4:63 5:78 6:1 7:246 8:622
21 1:66 2:212 3:45 4:63 5:211 6:253 7:245 8:622
22 1:53 2:202 3:45 4:63 5:116 6:248 7:245 8:622
23 1:175 2:196 3:45 4:63 5:181 6:240 7:245 8:622
24 1:61 2:186 3:45 4:63 5:70 6:254 7:245 8:622
25 1:178 2:189 3:45 4:63 5:176 6:248 7:245 8:622
26 1:84 2:186 3:45 4:63 5:236 6:237 7:245 8:622
27 1:155 2:174 3:45 4:63 5:126 6:229 7:245 8:622
28 1:208 2:171 3:45 4:63 5:136 6:216 7:245 8:622
29 1:75 2:178 3:45 4:63 5:63 6:217 7:245 8:622
30 1:190 2:179 3:45 4:63 5:13 6:220 7:245 8:622
31 1:125 2:176 3:45 4:63 5:237 6:219 7:245 8:622
32 1:191 2:163 3:45 4:63 5:107 6:210 7:245 8:622
33 1:144 2:156 3:45 4:63 5:174 6:209 7:245 8:622
34 1:150 2:155 3:45 4:63 5:141 6:213 7:245 8:622
35 1:120 2:154 3:45 4:63 5:216 6:222 7:245 8:622
36 1:234 2:149 3:45 4:63 5:133 6:234 7:245 8:622
37 1:53 2:143 3:45 4:63 5:204 6:241 7:245 8:622
38 1:216 2:125 3:45 4:63 5:13 6:252 7:245 8:622
39 1:236 2:116 3:45 4:63 5:80 6:8 7:246 8:622
40 1:223 2:121 3:45 4:63 5:1 6:17 7:246 8:622
41 1:192 2:126 3:45 4:63 5:16 6:63 7:246 8:622
42 1:118 2:111 3:45 4:63 5:58 6:76 7:246 8:622
43 1:215 2:94 3:45 4:63 5:50 6:97 7:246 8:622
44 1:224 2:79 3:45 4:63 5:138 6:160 7:246 8:622
45 1:40 2:69 3:45 4:63 5:158 6:189 7:246 8:622
46 1:225 2:57 3:45 4:63 5:191 6:210 7:246 8:622
47 1:177 2:51 3:45 4:63 5:35 6:226 7:246 8:622
48 1:198 2:47 3:45 4:63 5:61 6:245 7:246 8:622
49 1:48 2:50 3:45 4:63 5:92 6:4 7:247 8:622
50 1:117 2:53 3:45 4:63 5:250 6:21 7:247 8:622
51 1:176 2:53 3:45 4:63 5:112 6:38 7:247 8:622
52 1:190 2:42 3:45 4:63 5:128 6:52 7:247 8:622
53 1:120 2:41 3:45 4:63 5:227 6:74 7:247 8:622
54 1:244 2:37 3:45 4:63 5:89 6:85 7:247 8:622
55 1:49 2:34 3:45 4:63 5:129 6:81 7:247 8:622
56 1:17 2:33 3:45 4:63 5:109 6:66 7:247 8:622
57 1:212 2:33 3:45 4:63 5:126 6:62 7:247 8:622
58 1:87 2:31 3:45 4:63 5:241 6:57 7:247 8:622
59 1:125 2:29 3:45 4:63 5:198 6:50 7:247 8:622
60 1:24 2:30 3:45 4:63 5:225 6:46 7:247 8:622
61 1:82 2:30 3:45 4:63 5:181 6:42 7:247 8:622
62 1:168 2:29 3:45 4:63 5:196 6:38 7:247 8:622
63 1:21 2:18 3:45 4:63 5:152 6:28 7:247 8:622
64 1:74 2:24 3:45 4:63 5:230 6:24 7:247 8:622
65 1:60 2:32 3:45 4:63 5:80 6:29 7:247 8:622
66 1:206 2:14 3:45 4:63 5:20 6:26 7:247 8:622
67 1:91 2:1 3:45 4:63 5:65 6:43 7:247 8:622
68 1:21 2:252 3:44 4:63 5:211 6:59 7:247 8:622
69 1:3 2:234 3:44 4:63 5:121 6:62 7:247 8:622
70 1:235 2:232 3:44 4:63 5:204 6:61 7:247 8:622
71 1:99 2:229 3:44 4:63 5:164 6:87 7:247 8:622
72 1:38 2:223 3:44 4:63 5:152 6:94 7:247 8:622
73 1:40 2:209 3:44 4:63 5:94 6:86 7:247 8:622
74 1:32 2:210 3:44 4:63 5:234 6:80 7:247 8:622
75 1:98 2:214 3:44 4:63 5:33 6:88 7:247 8:622
76 1:222 2:215 3:44 4:63 5:123 6:94 7:247 8:622
77 1:192 2:213 3:44 4:63 5:124 6:93 7:247 8:622
78 1:69 2:209 3:44 4:63 5:148 6:86 7:247 8:622
